Date,Price,Open,High,Low,Vol.,Change %
29-Mar-18,2640.87,2614.41,2659.07,2609.72,-,1.38%
28-Mar-18,2605.00,2611.30,2632.65,2593.06,-,-0.29%
27-Mar-18,2612.62,2667.57,2674.78,2596.12,-,-1.73%
26-Mar-18,2658.55,2619.35,2661.36,2601.81,-,2.72%
23-Mar-18,2588.26,2646.71,2657.67,2585.89,-,-2.10%
22-Mar-18,2643.69,2691.36,2695.68,2641.59,-,-2.52%
21-Mar-18,2711.93,2714.99,2739.14,2709.79,-,-0.18%
20-Mar-18,2716.94,2715.05,2724.22,2710.05,-,0.15%
19-Mar-18,2712.92,2741.38,2741.38,2694.59,-,-1.42%
16-Mar-18,2752.01,2750.57,2761.85,2749.97,-,0.17%
15-Mar-18,2747.33,2754.27,2763.03,2741.47,-,-0.08%
14-Mar-18,2749.48,2774.06,2777.11,2744.38,-,-0.57%
13-Mar-18,2765.31,2792.31,2801.90,2758.68,-,-0.64%
12-Mar-18,2783.02,2790.54,2796.98,2779.26,-,-0.13%
9-Mar-18,2786.57,2752.91,2786.57,2751.54,-,1.74%
8-Mar-18,2738.97,2732.75,2740.45,2722.65,-,0.45%
7-Mar-18,2726.80,2710.18,2730.60,2701.74,-,-0.05%
6-Mar-18,2728.12,2730.18,2732.08,2711.26,-,0.26%
5-Mar-18,2720.94,2681.06,2728.09,2675.75,-,1.10%
2-Mar-18,2691.25,2658.89,2696.25,2647.32,-,0.51%
1-Mar-18,2677.67,2715.22,2730.89,2659.65,-,-1.33%
28-Feb-18,2713.83,2753.78,2761.52,2713.54,-,-1.11%
27-Feb-18,2744.28,2780.45,2789.15,2744.22,-,-1.27%
26-Feb-18,2779.60,2757.37,2780.64,2753.78,-,1.18%
23-Feb-18,2747.30,2715.80,2747.76,2713.74,-,1.60%
22-Feb-18,2703.96,2710.42,2731.26,2697.77,-,0.10%
21-Feb-18,2701.33,2720.53,2747.75,2701.29,-,-0.55%
20-Feb-18,2716.26,2722.99,2737.60,2706.76,-,-0.58%
16-Feb-18,2732.22,2727.14,2754.42,2725.11,-,0.04%
15-Feb-18,2731.20,2713.46,2731.51,2689.82,-,1.21%
14-Feb-18,2698.63,2651.21,2702.10,2648.87,-,1.34%
13-Feb-18,2662.94,2646.27,2668.84,2637.08,-,0.26%
12-Feb-18,2656.00,2636.75,2672.61,2622.45,-,1.39%
9-Feb-18,2619.55,2601.78,2638.67,2532.69,-,1.49%
8-Feb-18,2581.00,2685.01,2685.27,2580.56,-,-3.75%
7-Feb-18,2681.66,2690.95,2727.67,2681.33,-,-0.50%
6-Feb-18,2695.14,2614.78,2701.04,2593.07,-,1.74%
5-Feb-18,2648.94,2741.06,2763.39,2638.17,-,-4.10%
2-Feb-18,2762.13,2808.92,2808.92,2759.97,-,-2.12%
1-Feb-18,2821.98,2816.45,2835.96,2812.70,-,-0.06%
31-Jan-18,2823.81,2832.41,2839.26,2813.04,-,0.05%
30-Jan-18,2822.43,2832.74,2837.75,2818.27,-,-1.09%
29-Jan-18,2853.53,2867.23,2870.62,2851.48,-,-0.67%
26-Jan-18,2872.87,2847.48,2872.87,2846.18,-,1.18%
25-Jan-18,2839.25,2846.24,2848.56,2830.94,-,0.06%
24-Jan-18,2837.54,2845.42,2852.97,2824.81,-,-0.06%
23-Jan-18,2839.13,2835.05,2842.24,2830.59,-,0.22%
22-Jan-18,2832.97,2809.16,2833.03,2808.12,-,0.81%
19-Jan-18,2810.30,2802.60,2810.33,2798.08,-,0.44%
18-Jan-18,2798.03,2802.40,2805.83,2792.56,-,-0.16%
17-Jan-18,2802.56,2784.99,2807.04,2778.38,-,0.94%
16-Jan-18,2776.42,2798.96,2807.54,2768.64,-,-0.35%
12-Jan-18,2786.24,2770.18,2787.85,2769.64,-,0.67%
11-Jan-18,2767.56,2752.97,2767.56,2752.78,-,0.70%
10-Jan-18,2748.23,2745.55,2750.80,2736.06,-,-0.11%
9-Jan-18,2751.29,2751.15,2759.14,2747.86,-,0.13%
8-Jan-18,2747.71,2742.67,2748.51,2737.60,-,0.17%
5-Jan-18,2743.15,2731.33,2743.45,2727.92,-,0.70%
4-Jan-18,2723.99,2719.31,2729.29,2719.07,-,0.40%
3-Jan-18,2713.06,2697.85,2714.37,2697.77,-,0.64%
2-Jan-18,2695.81,2683.73,2695.89,2682.36,-,0.83%
29-Dec-17,2673.61,2689.15,2692.12,2673.61,-,-0.52%
28-Dec-17,2687.54,2686.10,2687.66,2682.69,-,0.18%
27-Dec-17,2682.62,2682.10,2685.64,2678.91,-,0.08%
26-Dec-17,2680.50,2679.09,2682.74,2677.96,-,-0.11%
22-Dec-17,2683.34,2684.22,2685.35,2678.13,-,-0.05%
21-Dec-17,2684.57,2683.02,2692.64,2682.40,-,0.20%
20-Dec-17,2679.25,2688.18,2691.01,2676.11,-,-0.08%
19-Dec-17,2681.47,2692.71,2694.44,2680.74,-,-0.32%
18-Dec-17,2690.16,2685.92,2694.97,2685.92,-,0.54%
15-Dec-17,2675.81,2660.63,2679.63,2659.14,-,0.90%
14-Dec-17,2652.01,2665.87,2668.09,2652.01,-,-0.41%
13-Dec-17,2662.85,2667.59,2671.88,2662.85,-,-0.05%
12-Dec-17,2664.11,2661.73,2669.72,2659.78,-,0.15%
11-Dec-17,2659.99,2652.19,2660.33,2651.47,-,0.32%
8-Dec-17,2651.50,2646.21,2651.65,2644.10,-,0.55%
7-Dec-17,2636.98,2628.38,2640.99,2626.53,-,0.29%
6-Dec-17,2629.27,2626.24,2634.41,2624.75,-,-0.01%
5-Dec-17,2629.57,2639.78,2648.72,2627.73,-,-0.37%
4-Dec-17,2639.44,2657.19,2665.19,2639.03,-,-0.11%
1-Dec-17,2642.22,2645.10,2650.62,2605.52,-,-0.20%
30-Nov-17,2647.58,2633.93,2657.74,2633.93,-,0.82%
29-Nov-17,2626.07,2627.82,2634.89,2620.32,-,-0.04%
28-Nov-17,2627.04,2605.94,2627.69,2605.44,-,0.98%
27-Nov-17,2601.42,2602.66,2606.41,2598.87,-,-0.04%
24-Nov-17,2602.42,2600.42,2604.21,2600.42,-,0.21%
22-Nov-17,2597.08,2600.31,2600.94,2595.23,-,-0.08%
21-Nov-17,2599.03,2589.17,2601.19,2589.17,-,0.65%
20-Nov-17,2582.14,2579.49,2584.64,2578.24,-,0.13%
17-Nov-17,2578.85,2582.94,2583.96,2577.62,-,-0.26%
16-Nov-17,2585.64,2572.95,2590.09,2572.95,-,0.82%
15-Nov-17,2564.62,2569.45,2572.84,2557.45,-,-0.55%
14-Nov-17,2578.87,2577.75,2579.66,2566.56,-,-0.23%
13-Nov-17,2584.84,2576.53,2587.66,2574.48,-,0.10%
10-Nov-17,2582.30,2580.18,2583.81,2575.57,-,-0.09%
9-Nov-17,2584.62,2584.00,2586.50,2566.33,-,-0.38%
8-Nov-17,2594.38,2588.71,2595.47,2585.02,-,0.14%
7-Nov-17,2590.64,2592.11,2597.02,2584.35,-,-0.02%
6-Nov-17,2591.13,2587.47,2593.38,2585.66,-,0.13%
3-Nov-17,2587.84,2581.93,2588.42,2576.77,-,0.31%
2-Nov-17,2579.85,2579.46,2581.11,2566.17,-,0.02%
1-Nov-17,2579.36,2583.21,2588.40,2574.92,-,0.16%
31-Oct-17,2575.26,2575.99,2578.29,2572.15,-,0.09%
30-Oct-17,2572.83,2577.75,2580.03,2568.25,-,-0.32%
27-Oct-17,2581.07,2570.26,2582.98,2565.94,-,0.81%
26-Oct-17,2560.40,2560.08,2567.07,2559.80,-,0.13%
25-Oct-17,2557.15,2566.52,2567.40,2544.00,-,-0.47%
24-Oct-17,2569.13,2568.66,2572.18,2565.58,-,0.16%
23-Oct-17,2564.98,2578.08,2578.29,2564.33,-,-0.40%
20-Oct-17,2575.21,2567.56,2575.44,2567.56,-,0.51%
19-Oct-17,2562.10,2553.39,2562.36,2547.92,-,0.03%
18-Oct-17,2561.26,2562.87,2564.11,2559.67,-,0.07%
17-Oct-17,2559.36,2557.17,2559.71,2554.69,-,0.07%
16-Oct-17,2557.64,2555.57,2559.47,2552.64,-,0.18%
13-Oct-17,2553.17,2555.66,2557.65,2552.09,-,0.09%
12-Oct-17,2550.93,2552.88,2555.33,2548.31,-,-0.17%
11-Oct-17,2555.24,2550.62,2555.24,2547.95,-,0.18%
10-Oct-17,2550.64,2549.99,2555.23,2544.86,-,0.23%
9-Oct-17,2544.73,2551.39,2551.82,2541.60,-,-0.18%
6-Oct-17,2549.33,2547.44,2549.41,2543.79,-,-0.11%
5-Oct-17,2552.07,2540.86,2552.51,2540.02,-,0.56%
4-Oct-17,2537.74,2533.48,2540.53,2531.80,-,0.12%
3-Oct-17,2534.58,2530.34,2535.13,2528.85,-,0.22%
2-Oct-17,2529.12,2521.20,2529.23,2520.40,-,0.39%
29-Sep-17,2519.36,2509.96,2519.44,2507.99,-,0.37%
28-Sep-17,2510.06,2503.41,2510.81,2502.93,-,0.12%
27-Sep-17,2507.04,2503.30,2511.75,2495.91,-,0.41%
26-Sep-17,2496.84,2501.04,2503.51,2495.12,-,0.01%
25-Sep-17,2496.66,2499.39,2502.54,2488.03,-,-0.22%
22-Sep-17,2502.22,2497.26,2503.47,2496.54,-,0.06%
21-Sep-17,2500.60,2507.16,2507.16,2499.00,-,-0.30%
20-Sep-17,2508.24,2506.84,2508.85,2496.67,-,0.06%
19-Sep-17,2506.65,2506.29,2507.84,2503.19,-,0.11%
18-Sep-17,2503.87,2502.51,2508.32,2499.92,-,0.15%
15-Sep-17,2500.23,2495.67,2500.23,2493.16,-,0.18%
14-Sep-17,2495.62,2494.56,2498.43,2491.35,-,-0.11%
13-Sep-17,2498.37,2493.89,2498.37,2492.14,-,0.08%
12-Sep-17,2496.48,2491.94,2496.77,2490.37,-,0.34%
11-Sep-17,2488.11,2474.52,2488.95,2474.52,-,1.08%
8-Sep-17,2461.43,2462.25,2467.11,2459.40,-,-0.15%
7-Sep-17,2465.10,2468.06,2468.62,2460.29,-,-0.02%
6-Sep-17,2465.54,2463.83,2469.64,2459.20,-,0.31%
5-Sep-17,2457.85,2470.35,2471.97,2446.55,-,-0.76%
1-Sep-17,2476.55,2474.42,2480.38,2473.85,-,0.20%
31-Aug-17,2471.65,2462.65,2475.01,2462.65,-,0.57%
30-Aug-17,2457.59,2446.06,2460.31,2443.77,-,0.46%
29-Aug-17,2446.30,2431.94,2449.19,2428.20,-,0.08%
28-Aug-17,2444.24,2447.35,2449.12,2439.03,-,0.05%
25-Aug-17,2443.05,2444.72,2453.96,2442.22,-,0.17%
24-Aug-17,2438.97,2447.91,2450.39,2436.19,-,-0.21%
23-Aug-17,2444.04,2444.88,2448.91,2441.42,-,-0.35%
22-Aug-17,2452.51,2433.75,2454.77,2433.67,-,0.99%
21-Aug-17,2428.37,2425.50,2430.58,2417.35,-,0.12%
18-Aug-17,2425.55,2427.64,2440.27,2420.69,-,-0.18%
17-Aug-17,2430.01,2462.95,2465.02,2430.01,-,-1.54%
16-Aug-17,2468.11,2468.63,2474.93,2463.86,-,0.14%
15-Aug-17,2464.61,2468.66,2468.90,2461.61,-,-0.05%
14-Aug-17,2465.84,2454.96,2468.22,2454.96,-,1.00%
11-Aug-17,2441.32,2441.04,2448.09,2437.85,-,0.13%
10-Aug-17,2438.21,2465.38,2465.38,2437.75,-,-1.45%
9-Aug-17,2474.02,2465.35,2474.41,2462.08,-,-0.04%
8-Aug-17,2474.92,2478.35,2490.87,2470.32,-,-0.24%
7-Aug-17,2480.91,2477.14,2480.95,2475.88,-,0.16%
4-Aug-17,2476.83,2476.88,2480.00,2472.08,-,0.19%
3-Aug-17,2472.16,2476.03,2476.03,2468.85,-,-0.22%
2-Aug-17,2477.57,2480.38,2480.38,2466.48,-,0.05%
1-Aug-17,2476.35,2477.10,2478.51,2471.14,-,0.24%
31-Jul-17,2470.30,2475.94,2477.96,2468.53,-,-0.07%
28-Jul-17,2472.10,2469.12,2473.53,2464.66,-,-0.13%
27-Jul-17,2475.42,2482.76,2484.04,2459.93,-,-0.10%
26-Jul-17,2477.83,2479.97,2481.69,2474.94,-,0.03%
25-Jul-17,2477.13,2477.88,2481.24,2474.91,-,0.29%
24-Jul-17,2469.91,2472.04,2473.10,2466.32,-,-0.11%
21-Jul-17,2472.54,2467.40,2472.54,2465.06,-,-0.04%
20-Jul-17,2473.45,2475.56,2477.62,2468.43,-,-0.02%
19-Jul-17,2473.83,2463.85,2473.83,2463.85,-,0.54%
18-Jul-17,2460.61,2455.88,2460.92,2450.34,-,0.06%
17-Jul-17,2459.14,2459.50,2462.82,2457.16,-,-0.01%
14-Jul-17,2459.27,2449.16,2463.54,2446.69,-,0.47%
13-Jul-17,2447.83,2444.99,2449.32,2441.69,-,0.19%
12-Jul-17,2443.25,2435.75,2445.76,2435.75,-,0.73%
11-Jul-17,2425.53,2427.35,2429.30,2412.79,-,-0.08%
10-Jul-17,2427.43,2424.51,2432.00,2422.27,-,0.09%
7-Jul-17,2425.18,2413.52,2426.92,2413.52,-,0.64%
6-Jul-17,2409.75,2423.44,2424.28,2407.70,-,-0.94%
5-Jul-17,2432.54,2430.78,2434.90,2422.05,-,0.15%
3-Jul-17,2429.01,2431.39,2439.17,2428.69,-,0.23%
30-Jun-17,2423.41,2429.20,2432.71,2421.65,-,0.15%
29-Jun-17,2419.70,2442.38,2442.73,2405.70,-,-0.86%
28-Jun-17,2440.69,2428.70,2442.97,2428.02,-,0.88%
27-Jun-17,2419.38,2436.34,2440.15,2419.38,-,-0.81%
26-Jun-17,2439.07,2443.32,2450.42,2437.03,-,0.03%
23-Jun-17,2438.30,2434.65,2441.40,2431.11,-,0.16%
22-Jun-17,2434.50,2437.40,2441.62,2433.27,-,-0.05%
21-Jun-17,2435.61,2439.31,2442.23,2430.74,-,-0.06%
20-Jun-17,2437.03,2450.66,2450.66,2436.60,-,-0.67%
19-Jun-17,2453.46,2442.55,2453.82,2441.79,-,0.83%
16-Jun-17,2433.15,2431.24,2433.15,2422.88,-,0.03%
15-Jun-17,2432.46,2424.14,2433.95,2418.53,-,-0.22%
14-Jun-17,2437.92,2443.75,2443.75,2428.34,-,-0.10%
13-Jun-17,2440.35,2434.15,2441.49,2431.28,-,0.45%
12-Jun-17,2429.39,2425.88,2430.38,2419.97,-,-0.10%
9-Jun-17,2431.77,2436.39,2446.20,2415.70,-,-0.08%
8-Jun-17,2433.79,2434.27,2439.27,2427.94,-,0.03%
7-Jun-17,2433.14,2432.03,2435.28,2424.75,-,0.16%
6-Jun-17,2429.33,2431.92,2436.21,2428.12,-,-0.28%
5-Jun-17,2436.10,2437.83,2439.55,2434.32,-,-0.12%
2-Jun-17,2439.07,2431.28,2440.23,2427.71,-,0.37%
1-Jun-17,2430.06,2415.65,2430.06,2413.54,-,0.76%
31-May-17,2411.80,2415.63,2415.99,2403.59,-,-0.05%
30-May-17,2412.91,2411.67,2415.26,2409.43,-,-0.12%
26-May-17,2415.82,2414.50,2416.68,2412.20,-,0.03%
25-May-17,2415.07,2409.54,2418.71,2408.01,-,0.44%
24-May-17,2404.39,2401.41,2405.58,2397.99,-,0.25%
23-May-17,2398.42,2397.04,2400.85,2393.88,-,0.18%
22-May-17,2394.02,2387.21,2395.46,2386.92,-,0.52%
19-May-17,2381.73,2371.37,2389.06,2370.43,-,0.68%
18-May-17,2365.72,2354.69,2375.74,2352.72,-,0.37%
17-May-17,2357.03,2382.95,2384.87,2356.21,-,-1.82%
16-May-17,2400.67,2404.55,2405.77,2396.05,-,-0.07%
15-May-17,2402.32,2393.98,2404.05,2393.94,-,0.48%
12-May-17,2390.90,2392.44,2392.44,2387.19,-,-0.15%
11-May-17,2394.44,2394.84,2395.72,2381.74,-,-0.22%
10-May-17,2399.63,2396.79,2399.74,2392.79,-,0.11%
9-May-17,2396.92,2401.58,2403.87,2392.44,-,-0.10%
8-May-17,2399.38,2399.94,2401.36,2393.92,-,0.00%
5-May-17,2399.29,2392.37,2399.29,2389.38,-,0.41%
4-May-17,2389.52,2389.79,2391.43,2380.35,-,0.06%
3-May-17,2388.13,2386.50,2389.82,2379.75,-,-0.13%
2-May-17,2391.17,2391.05,2392.93,2385.82,-,0.12%
1-May-17,2388.33,2388.50,2394.49,2384.83,-,0.17%
28-Apr-17,2384.20,2393.68,2393.68,2382.36,-,-0.19%
27-Apr-17,2388.77,2389.70,2392.10,2382.68,-,0.06%
26-Apr-17,2387.45,2388.98,2398.16,2386.76,-,-0.05%
25-Apr-17,2388.61,2381.51,2392.48,2381.15,-,0.61%
24-Apr-17,2374.15,2370.33,2376.98,2369.19,-,1.08%
21-Apr-17,2348.69,2354.74,2356.18,2344.51,-,-0.30%
20-Apr-17,2355.84,2342.69,2361.37,2340.91,-,0.76%
19-Apr-17,2338.17,2346.79,2352.63,2335.05,-,-0.17%
18-Apr-17,2342.19,2342.53,2348.35,2334.54,-,-0.29%
17-Apr-17,2349.01,2332.62,2349.14,2332.51,-,0.86%
13-Apr-17,2328.95,2341.98,2348.26,2328.95,-,-0.68%
12-Apr-17,2344.93,2352.15,2352.72,2341.18,-,-0.38%
11-Apr-17,2353.78,2353.92,2355.22,2337.25,-,-0.14%
10-Apr-17,2357.16,2357.16,2366.37,2351.50,-,0.07%
7-Apr-17,2355.54,2356.59,2363.76,2350.74,-,-0.08%
6-Apr-17,2357.49,2353.79,2364.16,2348.90,-,0.19%
5-Apr-17,2352.95,2366.59,2378.36,2350.52,-,-0.31%
4-Apr-17,2360.16,2354.76,2360.53,2350.72,-,0.06%
3-Apr-17,2358.84,2362.34,2365.87,2344.73,-,-0.16%
31-Mar-17,2362.72,2364.82,2370.35,2362.60,-,-0.23%
30-Mar-17,2368.06,2361.31,2370.42,2358.58,-,0.29%
29-Mar-17,2361.13,2356.54,2363.36,2352.94,-,0.11%
28-Mar-17,2358.57,2339.79,2363.78,2337.63,-,0.73%
27-Mar-17,2341.59,2329.11,2344.90,2322.25,-,-0.10%
24-Mar-17,2343.98,2350.42,2356.22,2335.74,-,-0.08%
23-Mar-17,2345.96,2345.97,2358.92,2342.13,-,-0.11%
22-Mar-17,2348.45,2343.00,2351.81,2336.45,-,0.19%
21-Mar-17,2344.02,2379.32,2381.93,2341.90,-,-1.24%
20-Mar-17,2373.47,2378.24,2379.55,2369.66,-,-0.20%
17-Mar-17,2378.25,2383.71,2385.71,2377.64,-,-0.13%
16-Mar-17,2381.38,2387.71,2388.10,2377.18,-,-0.16%
15-Mar-17,2385.26,2370.34,2390.01,2368.94,-,0.84%
14-Mar-17,2365.45,2368.55,2368.55,2358.18,-,-0.34%
13-Mar-17,2373.47,2371.56,2374.42,2368.52,-,0.04%
10-Mar-17,2372.60,2372.52,2376.86,2363.04,-,0.33%
9-Mar-17,2364.87,2363.49,2369.08,2354.54,-,0.08%
8-Mar-17,2362.98,2369.81,2373.09,2361.01,-,-0.23%
7-Mar-17,2368.39,2370.74,2375.12,2365.51,-,-0.29%
6-Mar-17,2375.31,2375.23,2378.80,2367.98,-,-0.33%
3-Mar-17,2383.12,2380.92,2383.89,2375.39,-,0.05%
2-Mar-17,2381.92,2394.75,2394.75,2380.17,-,-0.59%
1-Mar-17,2395.96,2380.13,2400.98,2380.13,-,1.37%
28-Feb-17,2363.64,2366.08,2367.79,2358.96,-,-0.26%
27-Feb-17,2369.75,2365.23,2371.54,2361.87,-,0.10%
24-Feb-17,2367.34,2355.73,2367.34,2352.87,-,0.15%
23-Feb-17,2363.81,2367.50,2368.26,2355.09,-,0.04%
22-Feb-17,2362.82,2361.11,2365.13,2358.34,-,-0.11%
21-Feb-17,2365.38,2354.91,2366.71,2354.91,-,0.60%
17-Feb-17,2351.16,2343.01,2351.16,2339.58,-,0.17%
16-Feb-17,2347.22,2349.64,2351.31,2338.87,-,-0.09%
15-Feb-17,2349.25,2335.58,2351.30,2334.81,-,0.50%
14-Feb-17,2337.58,2326.12,2337.58,2322.17,-,0.40%
13-Feb-17,2328.25,2321.72,2331.58,2321.42,-,0.52%
10-Feb-17,2316.10,2312.27,2319.23,2311.10,-,0.36%
9-Feb-17,2307.87,2296.70,2311.08,2296.61,-,0.58%
8-Feb-17,2294.67,2289.55,2295.91,2285.38,-,0.07%
7-Feb-17,2293.08,2295.87,2299.40,2290.16,-,0.02%
6-Feb-17,2292.56,2294.28,2296.18,2288.57,-,-0.21%
3-Feb-17,2297.42,2288.54,2298.31,2287.88,-,0.73%
2-Feb-17,2280.85,2276.69,2283.97,2271.65,-,0.06%
1-Feb-17,2279.55,2285.59,2289.14,2272.44,-,0.03%
31-Jan-17,2278.87,2274.02,2279.09,2267.21,-,-0.09%
30-Jan-17,2280.90,2286.01,2286.01,2268.04,-,-0.60%
27-Jan-17,2294.69,2299.02,2299.02,2291.62,-,-0.09%
26-Jan-17,2296.68,2298.63,2300.99,2294.08,-,-0.07%
25-Jan-17,2298.37,2288.88,2299.55,2288.88,-,0.80%
24-Jan-17,2280.07,2267.88,2284.63,2266.68,-,0.66%
23-Jan-17,2265.20,2267.78,2271.78,2257.02,-,-0.27%
20-Jan-17,2271.31,2269.96,2276.96,2265.01,-,0.34%
19-Jan-17,2263.69,2271.90,2274.33,2258.41,-,-0.36%
18-Jan-17,2271.89,2269.14,2272.01,2263.35,-,0.18%
17-Jan-17,2267.89,2269.14,2272.08,2262.81,-,-0.30%
13-Jan-17,2274.64,2272.74,2278.68,2271.51,-,0.18%
12-Jan-17,2270.44,2271.14,2271.78,2254.25,-,-0.21%
11-Jan-17,2275.32,2268.60,2275.32,2260.83,-,0.28%
10-Jan-17,2268.90,2269.72,2279.27,2265.27,-,0.00%
9-Jan-17,2268.90,2273.59,2275.49,2268.90,-,-0.35%
6-Jan-17,2276.98,2271.14,2282.10,2264.06,-,0.35%
5-Jan-17,2269.00,2268.18,2271.50,2260.45,-,-0.08%
4-Jan-17,2270.75,2261.60,2272.82,2261.60,-,0.57%
3-Jan-17,2257.83,2251.57,2263.88,2245.13,-,0.85%
30-Dec-16,2238.83,2251.61,2253.58,2233.62,-,-0.46%
